Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Gametocyte clearance in Kenyan children with uncomplicated plasmodium falciparum malaria after artemether lumefantrine or dihydroartemisinin piperaquine treatment,"Kimani, F. T.; Omondi, P. O.; Thiong'o, K. K.; Nambati, E. A.; Too, E. K.; Chege, W. K.; Otinga, M. A.","The efficacy and safety of Artemether-lumefantrine(AL) and Dihydroartemisinin-piperaquine phosphate (DP) against asexual parasite population has been well documented. However, the effect of these antimalarials on sexual parasites is still unclear. Children from western Kenya with uncomplicated P. falciparum malaria were assigned randomly to AL or DP treatment. A total of 334 dried blood spot samples were collected for up to 5 weeks after treatment. P. falciparum gametocytes were detected by Pfs25 qRT-PCR. Gametocytes prevalence, density and duration of gametocyte carriage were determined. At baseline all the 334 children had positive asexual parasite by microscopy, 12% (40/334) had detectable gametocyte by microscopy and 83.7% (253/302) had gametocytes by RT-qPCR. Overall, 12% of the study population at baseline was gametocyte positive by microscopy vs 83.7% by RT-qPCR a 10-fold higher than microscopy. The prevalence of gametocytes decreased from 84.6% (125/148) to 7.04% (5/71) at day 42 in AL group and from 82.4 % (127/154) to 14.5% (11/74) in DP group. The duration of gametocyte carriage as estimated by qRT-PCR was slightly shorter in AL group(4.5days) than in DP group (5.1days) but not significant (p=0.301). Submicroscopic gametocytes persisted in some patients up to day 28 despite a significant number of patients being negative for asexual parasites by microscopy on day 7. The study indicates that AL may clear Plasmodium falciparum gemetocytes slightly faster than DP. However, presence of submicroscopic gametocyte densities after highlights the limitation of interventions that aim to reduce malaria transmission by use of antimalarial drugs therefore a gametocidal drug in combination to ACTs will be useful in blocking malaria transmission more efficiently.",2019,November,American Journal of Tropical Medicine and Hygiene,101 (5 Supplement),,475-476,630643592,http://dx.doi.org/10.4269/ajtmh.abstract2019,,#338,Kimani 2019,Exclusion reason: Conference abstract; ,
"Gametocyte clearance in children, from western Kenya, with uncomplicated Plasmodium falciparum malaria after artemether-lumefantrine or dihydroartemisinin-piperaquine treatment","Omondi, P.; Burugu, M.; Matoke-Muhia, D.; Too, E.; Nambati, E. A.; Chege, W.; Musyoka, K. B.; Thiongo, K.; Otinga, M.; Muregi, F.; Kimani, F.","BACKGROUND: The efficacy and safety of artemether-lumefantrine (AL) and dihydroartemisinin-piperaquine (DP) against asexual parasites population has been documented. However, the effect of these anti-malarials on sexual parasites is still less clear. Gametocyte clearance following treatment is essential for malaria control and elimination efforts; therefore, the study sought to determine trends in gametocyte clearance after AL or DP treatment in children from a malaria-endemic site in Kenya.METHODS: Children aged between 0.5 and 12 years from Busia, western Kenya with uncomplicated Plasmodium falciparum malaria were assigned randomly to AL or DP treatment. A total of 334 children were enrolled, and dried blood spot samples were collected for up to 6 weeks after treatment during the peak malaria transmission season in 2016 and preserved. Plasmodium falciparum gametocytes were detected by qRT-PCR and gametocyte prevalence, density and mean duration of gametocyte carriage were determined.RESULTS: At baseline, all the 334 children had positive asexual parasites by microscopy, 12% (40/334) had detectable gametocyte by microscopy, and 83.7% (253/302) children had gametocytes by RT-qPCR. Gametocyte prevalence by RT-qPCR decreased from 85.1% (126/148) at day 0 to 7.04% (5/71) at day 42 in AL group and from 82.4% (127/154) at day 0 to 14.5% (11/74) at day 42 in DP group. The average duration of gametocyte carriage as estimated by qRT-PCR was slightly shorter in the AL group (4.5 days) than in the DP group (5.1 days) but not significantly different (p = 0.301).CONCLUSION: The study identifies no significant difference between AL and DP in gametocyte clearance. Gametocytes persisted up to 42 days post treatment in minority of individuals in both treatment arms. A gametocytocidal drug, in combination with artemisinin-based combination therapy, will be useful in blocking malaria transmission more efficiently.",2019,Dec-04,Malaria Journal,18,1,398,31801562,https://dx.doi.org/10.1186/s12936-019-3032-3,,#339,Omondi 2019,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
"G6PD deficiency, primaquine treatment, and risk of haemolysis in malaria-infected patients","Avalos, S.; Mejia, R. E.; Banegas, E.; Salinas, C.; Gutierrez, L.; Fajardo, M.; Galo, S.; Pinto, A.; Mejia, A.; Fontecha, G.","BACKGROUND: The incidence of malaria in the Americas has decreased markedly in recent years. Honduras and the other countries of Mesoamerica and the island of Hispaniola have set the goal of eliminating native malaria by the year 2020. To achieve this goal, Honduras has recently approved national regulations to expand the possibilities of a shortened double dose primaquine (PQ) treatment for vivax malaria. Considering this new shortened anti-malarial treatment, the high frequency of G6PDd genotypes in Honduras, and the lack of routinely assessment of the G6PD deficiency status, this study aimed at investigating the potential association between the intake of PQ and haemolysis in malaria-infected G6PDd subjects.METHODS: This was a prospective cohort and open-label study. Participants with malaria were recruited. Plasmodium vivax infection was treated with 0.25 mg/kg of PQ daily for 14 days. Safety and signs of haemolysis were evaluated by clinical criteria and laboratory values before and during the 3rd and 7th day of PQ treatment. G6PD status was assessed by a rapid test (CareStart TM) and two molecular approaches.RESULTS: Overall 55 participants were enrolled. The frequency of G6PD deficient genotypes was 7/55 (12.7%), where 5/7 (71.4%) were hemizygous A- males and 2/7 (28.6%) heterozygous A- females. Haemoglobin concentrations were compared between G6PD wild type (B) and G6PDd A- subjects, showing a significant difference between the means of both groups in the 3rd and 7th days. Furthermore, a statistically significant difference was evident in the change in haemoglobin concentration between the 3rd day and the 1st day for both genotypes, but there was no statistical difference for the change in haemoglobin concentration between the 7th day and the 1st day. Besides these changes in the haemoglobin concentrations, none of the patients showed signs or symptoms associated with severe haemolysis, and none needed to be admitted to a hospital for further medical attention.CONCLUSIONS: The findings support that the intake of PQ during 14 days of treatment against vivax malaria is safe in patients with a class III variant of G6PDd. In view of the new national regulations in the shortened treatment of vivax malaria for 7 days, it is advisable to be alert of potential cases of severe haemolysis that could occur among G6PD deficient hemizygous males with a class II mutation such as the Santamaria variant, previously reported in the country.",2018,Nov-08,Malaria Journal,17,1,415,30409136,https://dx.doi.org/10.1186/s12936-018-2564-2,,#347,Avalos 2018,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
Frequent and complex relapses confound assessment of chloroquine resistance in Cambodian Plasmodium vivax,"Popovici, J.; Friedrich, L.; Kim, S.; Bin, S.; Run, V.; Serre, D.; Menard, D.",,2018,Aug,International Journal of Infectious Diseases,73,,75-75,WOS:000440345100162,10.1016/j.ijid.2018.04.3596,,#369,Popovici 2018,Exclusion reason: Conference abstract; ,
"Frequence elevee de l'allele Pfcrt-76T dans les isolats de Plasmodium falciparum provenant du Gabon et de la Cote d'Ivoire apres le retrait de la chloroquine, High Frequency of Pfcrt-76T Allele in Plasmodium falciparum Isolates From Gabon and Ivory Coast After the Withdrawal of Chloroquine","Ndong Ngomo, J. M.; Amiah Ahou, M.; Yavo, W.; Karine Bouyou-Akotet, M.; Mawili-Mboumba, D. P.",,2019,,Bulletin de la Societe de pathologie exotique (1990),112,1,08-Nov,628444358,http://dx.doi.org/10.3166/bspe-2019-0074,,#371,NdongNgomo 2019,Exclusion reason: Full-text not available; Debashish Das (2020-12-19 04:58:50)(Select): Full-text not available; ,
"In vivo efficacy and frequency of molecular markers of resistance of p. falciparum to sulfadoxine-pyrimethamine plus amodiaquine in bougouni, Mali and Hounde, Burkina Faso","Sagara, I.; Zongo, I.; Kuepfer, I.; Cairns, M.; Diarra, M.; Barry, A.; Nikiema, F.; Tapily, A.; Coumare, S.; Thera, I.; Ouedraogo, J. B.; Milligan, P.; Chandrahoman, D.; Djimde, A.; Greenwood, B.; Dicko, A.","Seasonal malaria chemoprevention (SMC) is being implemented widely in Sahelian countries. The World Health Organization recommends continued monitoring of drug resistance in areas where SMC is being deployed. As part of the large trial of the SMC with or without Azithromycin, we assessed the frequency of the molecular markers of resistance of P. falciparum to Sulfadoxine-Pyrimethamine (SP) and Amodiaquine (AQ) in children after one and three years of SMC and the in vivo response of P. falciparum to SP and AQ after three years of SMC in Bougouni, Mali and Hounde in Burkina Faso. In 2016, after three years of implementation of SMC, the PCR uncorrected proportion of adequate clinical and parasitological response (ACPR) was 94.8% (95% CI 85.0-98.3) in Burkina and 96.1% (95% CI 91.5-98.2) in Mali. After PCR correction the ACPR was 99.3% (95% CI 95.4-99.9) in Mali and remained unchanged in Burkina. The frequency of the three mutations dhfr-59I + dhps-437G + dhps-540E associated with resistance to SP in Mali was 0.8% (1/125) in 2014 and 4.2% (5/120) in 2016, p =0.09. The corresponding figures in Burkina Faso were 0 % (0/61) in 2014 and 1.5% (2/134) in 2016 p =0.34. Similarly, the frequency of the double mutation (Pfcrt-76T + pfmdr1-86Y), associated with resistance to AQ, remained similar in both countries; 16.3% (20/123) in 2014 and 12.8% (15/117) in 2016 in Mali p =0.44, while in Burkina double mutations were detected in 6.8% (4/59) children in 2014, but not seen in 113 children in 2016. The frequency of these markers in schoolchildren aged 6-12 years in the same villages were similar to those seen in the study children. In summary, SMC implementation was not associated with evidence of an increase in frequencies of molecular markers of resistance to SP and AQ or a reduced 28 days in vivo efficacy after three years of the SMC.",2019,November,American Journal of Tropical Medicine and Hygiene,101 (5 Supplement),,274-275,630645263,http://dx.doi.org/10.4269/ajtmh.abstract2019,,#379,Sagara 2019,Exclusion reason: Conference abstract; ,
The Impact of Sulphadoxine-Pyrimethamine Use At Scale on Newborn Outcomes in Nigeria,,,,,,,,,,,,#496,,Exclusion reason: IPT in pregnancy; ,
"Impact of Dihydroartemisinin-piperaquine Plus Primaquine on Malaria Transmission in Lampung Province, Sumatra",,,,,,,,,,,,#535,,Exclusion reason: Healthy volunteer; ,
Impact of CYP2D6 on primaquine and tafenoquine efficacy in plasmodium vivax malaria phase 3 clinical trials,"St Jean, P.; Koh, G.; Mohamed, K.; Duparc, S.; Green, J.","There is emerging evidence that metabolic activation of primaquine (PQ) by CYP2D6 is required for anti-hypnozoite activity. As tafenoquine (TQ) is in the same class as PQ, we examined the impact of CYP2D6 metabolism on PQ and TQ efficacy in two previously reported phase 3 clinical studies, DETECTIVE (NCT01376167) and GATHER (NCT02216123). Both arms were in combination with chloroquine. We derived CYP2D6 metabolizer class by summing the activity of a subject's two CYP2D6 *alleles with a value of 0 for a null allele, 0.5 for a reduced activity allele and 1 for a full function allele. Subjects with activity sums of 0, 0.5 to 1, and 1.5 to 2 were classified as poor (PM), intermediate (IM) and extensive (EM) metabolizers, respectively. Subjects who were confirmed recurrence-free or had a recurrence over 6 months post treatment were included in the analyses. Logistic regression models with geographic region as a covariate were fitted to assess the effect of CYP2D6 metabolizer class on recurrence-free efficacy by treatment arm and study. As there were <=3 PM per arm by study, the PMs and IMs were combined and compared to the EMs. Allele frequencies varied by geographic region aligning with published regional frequencies. In the DETECTIVE PQ arm, recurrence risk increased with reduced activity (N=116, Odds Ratio (OR) = 2.36, p=0.032) where all 3 PM had recurrence. When PM were excluded from analysis, the effect in the DETECTIVE PQ arm was not significant (p=0.10). No evidence of an effect was seen in the DETECTIVE TQ arm (N=231, OR=1.05, p=0.44) in which 1 of 3 PM had recurrence. No effect was seen in the GATHER study for either arm (TQ arm N=134, OR=0.89, p=0.60; PQ arm N=65, OR=0.76, p=0.64). The 1 PM in GATHER was in the TQ arm and recurrence-free. In summary, neither study showed evidence of a CYP2D6 effect on TQ efficacy. These results suggest that PMs are more likely to suffer a recurrence with PQ treatment (3 of 3 PMs with a recurrence), but not with TQ treatment (1 of 4 PMs with a recurrence); however, a limitation of these findings is the small number of PM subjects and that we cannot distinguish relapses from new infections in this study.",2018,October,American Journal of Tropical Medicine and Hygiene,99 (4 Supplement),,545,627541755,,,#538,StJean 2018,Exclusion reason: Conference abstract; ,
Fosmidomycin With Clindamycin or With Clindamycin Plus Artesunate,,,,,,,,,,,,#612,,Exclusion reason: Withdrawn; ,
Fluindione and falciparum malaria treated by atovaquone-proguanil,"Kamaliddin, C.; Joste, V.; Argy, N.; Houze, S.",,2018,October,Therapie,73,5,445-447,2000672265,http://dx.doi.org/10.1016/j.therap.2018.03.002,,#628,Kamaliddin 2018,Exclusion reason: Case report; ,
"Fever clearance in the efficacy and safety study of artesunate + amodiaquine, artemether + lumefantrine, dihydroartemisinine+ piperaquine-phosphate on the day 1 of enrolement in the treatment of uncomplicated plasmodium falciparum malaria in under five children in dr congo","Kutekemeni, K.; Lukuka, K.; Mukomena, S.; Likwela, J. L.; Gasigwa, B.; Sambou, B.; Bahizi, P.; Kakesa, O.; Ringwald, P.; Mesia, K.","Introduction: A randomized clinical trial assessing the efficacy and safety of artemisinin-based therapeutic combinations (ACT) ""Artesunate-amodiaquine (AS-AQ), Artemether-Lumefantrine (AL), Dihydroartemisinin-Piperaquine phosphate (DHAPQP), "" was conducted in children aged from 6 to 59 months with uncomplicated Plasmodium falciparum malaria (Pf) between March 2017 to January 2018 in the Democratic Republic of Congo (DRC). Purpose(s): This study aims to determine the regimen with the best fever clearance on day 1 (D1) of enrolment. Method(s): In an open-label randomized trial to 3 regimens including AS-AQ, AL and DHAPQP, 1,622 children aged 6 to 59 months with uncomplicated Falciparum malaria were enrolled for 42 days of monitoring at 6 malaria monitoring sites in DRC.ASAQ regimen had 540 children, AL regimen had 535 children and finally DHPQP had 547 children. Fever with a Tdegree >= 37.5degree C was the main entrance door. Paracetamol was routinely administered on day zero (D0) to all children enrolled in addition to an oral regimen of 3 days of the ACT. Tdegree was measured at each appointment (D0, D1, D2, D3, D7, D14, D21, D28, D35, D42) using a calibrated electronic thermometer ?Thermoval Basic?. Result(s): Themean Tdegree at D0 of enrolment was of 38.4degreeC for all 3 regimens. At D1, the mean Tdegree was of 36.25degreeC for ASAQ, 36.4degreeC for DHA PQP and 36.45degreeC for AL. Conclusion(s): This study has shown a substantial, decrease of temperature in children aged from 6 to 59 months regardless of type of the regimen at D1. Children under ASAQ had a better clearance of fever at D1 of enrolment followed by those under DHAPQP. (Figure Presented) .",2019,September,Transactions of the Royal Society of Tropical Medicine and Hygiene,113 (Supplement 1),,S143-S144,630553245,http://dx.doi.org/10.1093/trstmh/trz090,,#667,Kutekemeni 2019,Exclusion reason: Conference abstract; ,
FALCIPARUM PARASITE MALARIA AND ITS PREVENTIVE/SAFETY MEASURES: UNION OF BITTER ALKALOID AND ANTIBIOTIC TETRACYCLINE THERAPY,"Saeed, Muhammad Awais; Shahid, Muhammad Hassan; Mehreen, Saba","Objective: The main idea of this research was to check the power in living organisms and unfavourable outcomes of a bitter alkaloid taken from a tree and an antibiotic tetracycline doxycycline union in epidemic of malaria which is the result of a parasite protozoan known Plasmodium (P.) falciparum. Methodology: This was an eventual research based on the observations. This study was carried out in DHQ Teaching Hospital, Dera Ghazi Khan. Our research span over five months from September, 2016 to February, 2017. The participants of the study were 337 patients of malaria which was caused by the above-mentioned parasite were selected for the research. High, low and medium worth with the difference in the age, rectification time from fever and the clearance time for the parasite was checked. In this research, the occurrence of the deaths and other relation unfavourable occasions were also checked. Results: Two hundred and fifty-seven patients found with P. falciparum and eighty-one patients found two different types of parasite in which one was the falciparum and the other one was vivax. The average time for the rectification of the fever was different for both of the patients. The time was greater in case of the patients affected by two parasites. The average clearance time from the single parasite was seventy points thirty-two hours and sixty-eight hours for the patient of two parasites. There were some patients who developed some side effect such as nausea. There percentage was three-point three percent. The rate of mortality was lower in this research. The rate was less than one percent. Conclusion: A bitter alkaloid taken from a tree and an antibiotic tetracycline union treatment was used as therapy. It should be used with extensive safety measures against the malaria caused by the falciparum parasite.",2018,Jun,Indo American Journal of Pharmaceutical Sciences,5,6,5964-5968,WOS:000437956800143,10.5281/zenodo.1302417,,#686,Saeed 2018,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
Extended duration artemether-lumefantrine for the treatment of malaria in HIV-uninfected children in Uganda: The exalt randomized controlled PK/PD study,"Norah, M.; Meghan, W.; Orukan, F.; Richards, K.; Wade, M.; Moses, W.; Huang, L.; Kajubi, R.; Aweeka, F.; Parikh, S.","Artemether-lumefantrine (AL) is the most widely used artemisinin-based combination therapy. Recent data, including a comprehensive metaanalysis, suggest that lumefantrine (LR) exposure is lower in young children and that absorption is dose-limited. We are conducting a prospective PK/ PD study of extended duration AL in children ages 6 months-17 years in a high transmission area in Uganda. Children with uncomplicated P. falciparum infection are randomized to 3-day (standard 6-dose) or 5-day (10 dose) AL with intensive or population PK sampling for artemether, DHA, and LR quantification by LC MS/MS out to day 21 and clinical follow-up to 42 days. Thus far, n=349 children have been screened, n=167 enrolled (median age 5 years, range 1-14), and n=7 withdrawn. The targets for enrolment are n=100 and n=120 episodes for intensive and population PK sampling, respectively. Outcome data for n=84 participants (3-day (n=47) and 5-day (n=37)) are presented. Thus far, 28-day treatment outcomes in the 3-day (n=47) versus 5-day (n=37) are as follows: ACPR (38% vs 70%), LPF (51% vs 19%), LCF (11% vs 11%), respectively. At 42- days, 3-day vs 5-day treatment outcomes in the 3-day (n=47) versus 5-day (n=37) are as follows: ACPR (28% vs 38%), LPF (51% vs 32%), LCF (21% vs 30%). PK parameters for n=18 children have been completed thus far (n=9 each arm). Terminal LR concentrations were significantly increased in the 5-day versus 3-day regimen on days 7,14, and 21 (1090, 186, 91.5 ng/mL vs 321, 118, 62.2 ng/mL; all p-values <0.005). LR area under the concentration-time curve (AUC) measured from the time of the last dose over 21 days indicates a geometric mean AUC0-infinity of 322 ug*h/ml and 255 ug*h/ml (p =0.20) for the 5-day and 3-day regimens, respectively. Preliminary results demonstrate that twice daily AL over 5 days significantly enhances terminal LR concentrations out to day 21 with modest increases in AUC0-infinity. Changes in PK exposure coincide with a reduced risk of malaria at 28 days, with risk reduction appearing to diminish by 42 days in our high transmission setting. Enrollment began in February 2018 and completed PK/PD and safety data are expected in Fall 2019.",2019,November,American Journal of Tropical Medicine and Hygiene,101 (5 Supplement),,489,630645064,http://dx.doi.org/10.4269/ajtmh.abstract2019,,#720,Norah 2019,Exclusion reason: Conference abstract; ,
